epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10404.3,0.73751,0.44184,0.80892,0.98212,0.91919,0.97744,0.80859,0.64098,0.40233,0.80087,0.00098525,0.00098525,0.00098525
43,10593,0.77209,0.45708,0.79392,0.95009,0.95588,0.97541,0.8184,0.61462,0.40211,0.79367,0.0009605,0.0009605,0.0009605
44,10783.3,0.71619,0.43179,0.80263,0.96929,0.94561,0.97586,0.81518,0.59591,0.38589,0.79531,0.00093575,0.00093575,0.00093575
45,10972.6,0.72803,0.43808,0.80196,0.96022,0.96234,0.97959,0.81746,0.58852,0.3828,0.79552,0.000911,0.000911,0.000911
46,11160.9,0.71756,0.43191,0.8029,0.95507,0.9784,0.98795,0.83339,0.59758,0.36579,0.79414,0.00088625,0.00088625,0.00088625
47,11353.9,0.71172,0.426,0.80022,0.97449,0.94561,0.98609,0.84315,0.59345,0.36428,0.79347,0.0008615,0.0008615,0.0008615
48,11541.4,0.73433,0.43294,0.80212,0.95954,0.97071,0.98667,0.82369,0.61674,0.36323,0.79735,0.00083675,0.00083675,0.00083675
49,11727,0.72861,0.42665,0.7952,0.97872,0.96197,0.98514,0.83047,0.58948,0.364,0.7939,0.000812,0.000812,0.000812
50,11919.1,0.73403,0.43339,0.80352,0.98256,0.93305,0.97904,0.83668,0.58363,0.3749,0.79339,0.00078725,0.00078725,0.00078725
51,12107.6,0.70612,0.40949,0.80327,0.96576,0.94142,0.98349,0.82538,0.59747,0.36417,0.79698,0.0007625,0.0007625,0.0007625
52,12296.8,0.70447,0.41639,0.80055,0.97329,0.95397,0.98372,0.84019,0.58101,0.35249,0.79284,0.00073775,0.00073775,0.00073775
53,12489,0.72218,0.41029,0.80351,0.97399,0.96234,0.98803,0.83629,0.57391,0.34278,0.79141,0.000713,0.000713,0.000713
54,12671.2,0.68789,0.40568,0.79449,0.96832,0.95397,0.98275,0.83376,0.58778,0.35744,0.79458,0.00068825,0.00068825,0.00068825
55,12863.5,0.70135,0.41267,0.79344,0.97031,0.95715,0.9864,0.83021,0.61474,0.36136,0.79469,0.0006635,0.0006635,0.0006635
56,13052,0.67565,0.39686,0.79623,0.9747,0.94142,0.9845,0.84597,0.59961,0.3554,0.79479,0.00063875,0.00063875,0.00063875
57,13241.5,0.66691,0.39654,0.79545,0.97199,0.95397,0.98649,0.84505,0.56996,0.34224,0.79162,0.000614,0.000614,0.000614
58,13429.4,0.66444,0.38814,0.79083,0.95805,0.97071,0.98622,0.84247,0.58076,0.33662,0.79199,0.00058925,0.00058925,0.00058925
59,13618.6,0.65565,0.38341,0.79643,0.97446,0.95797,0.98828,0.84508,0.55882,0.34294,0.78986,0.0005645,0.0005645,0.0005645
60,13807.1,0.68663,0.39656,0.79614,0.95421,0.95918,0.98531,0.84068,0.57051,0.34121,0.79204,0.00053975,0.00053975,0.00053975
61,13995,0.67469,0.3894,0.79213,0.97861,0.9572,0.9867,0.84588,0.55046,0.33436,0.79099,0.000515,0.000515,0.000515
62,14182.9,0.65268,0.38234,0.78777,0.97889,0.95816,0.98725,0.84542,0.55492,0.33985,0.78995,0.00049025,0.00049025,0.00049025
63,14375,0.67745,0.39117,0.79442,0.9819,0.94979,0.987,0.85121,0.55113,0.32616,0.79014,0.0004655,0.0004655,0.0004655
64,14564.9,0.65958,0.38345,0.7905,0.97912,0.94979,0.9869,0.84552,0.55645,0.33212,0.78968,0.00044075,0.00044075,0.00044075
65,14754.4,0.66933,0.38207,0.79336,0.97414,0.94552,0.98811,0.85351,0.53491,0.32026,0.78801,0.000416,0.000416,0.000416
66,14945.4,0.63657,0.36125,0.79879,0.96995,0.94979,0.98845,0.8486,0.55471,0.33063,0.79049,0.00039125,0.00039125,0.00039125
67,15134.1,0.61941,0.35487,0.79054,0.98599,0.94142,0.98821,0.85634,0.5497,0.32272,0.78908,0.0003665,0.0003665,0.0003665
68,15326.6,0.61716,0.35548,0.788,0.97693,0.96234,0.98834,0.85456,0.55213,0.32015,0.78985,0.00034175,0.00034175,0.00034175
69,15513.4,0.63236,0.366,0.78625,0.97876,0.96397,0.98921,0.85693,0.53001,0.31754,0.7877,0.000317,0.000317,0.000317
70,15705.5,0.60867,0.35622,0.78705,0.98381,0.94561,0.99018,0.86008,0.51963,0.30833,0.78618,0.00029225,0.00029225,0.00029225
71,15895,0.58588,0.34048,0.79225,0.98064,0.94142,0.98626,0.85668,0.53915,0.32723,0.78841,0.0002675,0.0002675,0.0002675
72,16081.6,0.58096,0.32234,0.79028,0.97509,0.94561,0.98778,0.84538,0.55559,0.33212,0.78933,0.00024275,0.00024275,0.00024275
73,16267.6,0.57066,0.32795,0.79345,0.97443,0.95672,0.98858,0.84815,0.54135,0.32586,0.78792,0.000218,0.000218,0.000218
74,16458.6,0.57826,0.33189,0.78931,0.98272,0.95198,0.98783,0.85291,0.54508,0.31959,0.78839,0.00019325,0.00019325,0.00019325
75,16645,0.5593,0.31701,0.79271,0.98283,0.958,0.98585,0.8569,0.53807,0.31636,0.78809,0.0001685,0.0001685,0.0001685
76,16833,0.5429,0.3158,0.78305,0.97446,0.95771,0.98738,0.85581,0.52814,0.31793,0.78658,0.00014375,0.00014375,0.00014375
77,17017,0.56993,0.32281,0.79004,0.97968,0.94561,0.98795,0.84883,0.54185,0.31519,0.78763,0.000119,0.000119,0.000119
78,17207.1,0.56711,0.31522,0.78429,0.98273,0.95264,0.98892,0.85216,0.53169,0.30713,0.78677,9.425e-05,9.425e-05,9.425e-05
79,17394.9,0.54598,0.31667,0.78554,0.98517,0.94979,0.98917,0.85937,0.52846,0.30098,0.78617,6.95e-05,6.95e-05,6.95e-05
80,17585.4,0.53925,0.29575,0.78576,0.98622,0.94979,0.98928,0.86088,0.52014,0.29746,0.78601,4.475e-05,4.475e-05,4.475e-05
